hand,seed,street,pos,oppPos,oppType,cards,board,potSize,betSize,situation,playerIsOOP,availableActions,bestAction,acceptable,handCategory,handDesc,handStrength,draws,drawOuts,boardTexture,mcEquity,rangeFallback,betRangeSize,checkRangeSize,callRangeSize,evBest,explanation,rating_Check,ev_Check,rating_Bet,ev_Bet,rating_Fold,ev_Fold,rating_Raise,ev_Raise,rating_Call,ev_Call,rating_3-Bet,ev_3-Bet
80,1TP8O7E,turn,BB,UTG,tight,86o,5♣ Q♣ K♣ 7♦,19,8,oop_check_then_opp_bets,OOP,Fold/Call/Raise,Fold,Fold/Call,trash,Nothing,0.280,"flush draw, open-ended straight draw",15,wet,0.257,no,439,--,--,0.4,"Flush draw and open-ended straight draw on a wet board — roughly 26% equity, needing 30% to call 8BB into 19BB. Marginal",,,,,green,0.4,red,-8.0,green,1.0,,
81,04BNY60,turn,MP,UTG,aggro,A3o,9♥ Q♦ 5♥ 9♠,11,5,ip_vs_bet,IP,Fold/Call/Raise,Call,Call,trash,"Pair on board, three kicker",0.100,none,0,dry,0.531,no,1035,--,--,0.6,"Pair on board, three kicker on a dry board — roughly 53% equity against their betting range, needing 31%. Enough to cont",,,,,red,-2.0,red,-1.0,green,0.6,,
82,1UIAGDS,flop,CO,SB,tight,Q3s,9♦ Q♣ 7♥,15,0,ip_vs_check,IP,Check/Bet,Check,Check,marginal,"Top pair, weak kicker",0.280,none,0,dry,0.836,no,--,1017,112,0.3,"Top pair, weak kicker on a dry board — betting only gets called by better hands. Take the free card. A Careful player ch",green,0.3,red,-2.0,,,,,,,,
83,0OUW505,turn,SB,BTN,tight,82s,J♠ A♣ 10♥ 5♦,5,0,oop_first_to_act,OOP,Check/Bet,Check,Check,trash,Nothing,0.060,none,0,medium,0.219,no,--,938,125,0.3,"Nothing — betting only gets called by better hands. Take the free card. A Careful player checking means weakness, but yo",green,0.3,red,-1.0,,,,,,,,
84,048G7EZ,turn,SB,BB,neutral,98s,2♥ 7♣ Q♠ K♣,15,6,oop_check_then_opp_bets,OOP,Fold/Call/Raise,Fold,Fold,trash,Nothing,0.060,none,0,medium,0.072,no,171,--,--,0.3,Nothing with no real draw — roughly 7% equity against this range. You'd need 29% to call. Nothing to work with. Against ,,,,,green,0.3,red,-6.0,red,-6.0,,
85,17VPWPS,turn,SB,MP,aggro,KJs,3♣ Q♠ 4♣ Q♦,25,10,oop_check_then_opp_bets,OOP,Fold/Call/Raise,Call,Call,trash,"Pair on board, jack kicker",0.220,flush draw,9,dry,0.540,no,1035,--,--,1.3,"Pair on board, jack kicker plus flush draw on a dry board — roughly 54% equity. You're paying 10BB into 25BB, needing 29",,,,,red,-4.0,red,-3.0,green,1.3,,
86,0ZU0M3A,flop,SB,MP,tight,75o,8♣ 3♦ 5♠,13,0,oop_first_to_act,OOP,Check/Bet,Check,Check,weak,Middle pair,0.200,none,0,dry,0.691,no,--,969,156,0.3,Middle pair on a dry board — betting only gets called by better hands. Take the free card. A Careful player checking mea,green,0.3,red,-1.0,,,,,,,,
87,0IYHNXQ,preflop,BB,SB,tight,T7o,--,3.5,2.5,vs_raise,IP,Fold/Call/3-Bet,Fold,Fold,--,--,--,--,--,--,--,no,--,--,--,0.3,"T7o can't profitably defend from BB vs a raise. T7o is an unplayable hand. No suit advantage, poor connectivity, and eas",,,,,green,0.3,,,red,-2.5,red,-2.5
88,1U0WDUY,flop,BB,CO,aggro,A3o,8♣ 7♦ 3♥,5,0,oop_first_to_act,OOP,Check/Bet,Check,Check,weak,Bottom pair,0.140,none,0,dry,0.842,no,--,80,541,0.3,Bottom pair on a dry board — betting only gets called by better hands. Take the free card. An Aggro player checking is u,green,0.3,red,-1.0,,,,,,,,
89,1KSKHYC,preflop,BB,BTN,neutral,72o,--,1.5,0,open,IP,Check/Raise,Check,Check,--,--,--,--,--,--,--,no,--,--,--,0.3,"72o — free flop, no reason to raise. See what comes.",green,0.3,,,,,red,-1.0,,,,
90,1NICOOO,preflop,BB,UTG,aggro,Q9o,--,3.5,2.5,vs_raise,IP,Fold/Call/3-Bet,Fold,Fold,--,--,--,--,--,--,--,no,--,--,--,0.3,Q9o can't profitably defend from BB vs a raise. Q9o has one strong card but a weak kicker. Often dominated by better han,,,,,green,0.3,,,red,-2.5,red,-2.5
91,0HTX2BR,turn,CO,MP,tight,Q5o,6♣ Q♥ J♥ 7♠,12,0,ip_vs_check,IP,Check/Bet,Bet,Bet,marginal,"Top pair, weak kicker",0.280,none,0,medium,0.870,no,--,906,211,1.0,"Top pair, weak kicker — roughly 87% equity vs their checking range. Worse hands will call. A Careful player checking sig",red,-1.0,green,1.0,,,,,,,,
92,12YIUCE,flop,SB,CO,aggro,55,10♠ 10♥ 7♥,6,0,oop_first_to_act,OOP,Check/Bet,Bet,Bet/Check,marginal,Two Pair (weak),0.350,none,0,dry,0.610,L1,--,893,1081,0.8,Two Pair (weak) on a dry board — roughly 61% equity vs their checking range. Worse hands will call. An Aggro player chec,yellow,0.0,green,0.8,,,,,,,,
93,1JT48SR,preflop,UTG,CO,tight,AJo,--,1.5,0,open,IP,Fold/Raise,Fold,Fold,--,--,--,--,--,--,--,no,--,--,--,0.3,AJo is a solid Ace. Playable from most positions. Outside UTG range with 5 players behind.,,,,,green,0.3,red,-2.5,,,,
94,0FPR8J1,turn,BTN,CO,aggro,92o,A♠ 8♠ K♥ Q♥,12,0,ip_vs_check,IP,Check/Bet,Check,Check,trash,Nothing,0.060,none,0,wet,0.760,no,--,253,782,0.3,Nothing on a wet board — betting only gets called by better hands. Take the free card. An Aggro player checking is unusu,green,0.3,red,-1.0,,,,,,,,
95,1PFDIAN,turn,CO,UTG,neutral,A8o,8♠ 10♠ J♦ 2♠,10,0,ip_vs_check,IP,Check/Bet,Bet,Bet/Check,weak,Bottom pair,0.140,none,0,wet,0.730,no,--,457,785,0.8,Bottom pair on a wet board — roughly 73% equity vs their checking range. Worse hands will call. Their check could mean w,yellow,0.0,green,0.8,,,,,,,,
96,0POWK78,flop,MP,UTG,aggro,Q6o,2♠ A♦ 6♦,13,0,ip_vs_check,IP,Check/Bet,Bet,Bet/Check,weak,Middle pair,0.200,none,0,dry,0.852,no,--,180,478,1.0,Middle pair on a dry board — roughly 85% equity vs their checking range. Worse hands will call. An Aggro player checking,yellow,0.0,green,1.0,,,,,,,,
97,1O6ZJUS,turn,UTG,BB,tight,42s,3♣ A♥ 3♠ 10♦,17,6,ip_vs_bet,IP,Fold/Call/Raise,Fold,Fold,trash,Pair on board,0.200,open-ended straight draw,8,dry,0.106,no,350,--,--,0.3,Pair on board plus open-ended straight draw on a dry board — roughly 11% equity. You need 26% to call 6BB into 17BB. Not,,,,,green,0.3,red,-6.0,red,-6.0,,
98,0W733OE,preflop,BTN,SB,aggro,Q8s,--,1.5,0,open,IP,Fold/Raise,Raise,Raise,--,--,--,--,--,--,--,no,--,--,--,1.0,Q8s is a standard open from BTN. Q8s has one strong card but a weak kicker. Often dominated by better hands in the same ,,,,,red,-1.5,green,1.0,,,,
99,01479MB,flop,SB,UTG,tight,A3s,10♣ 2♥ Q♥,6,0,oop_first_to_act,OOP,Check/Bet,Check,Check,weak,Ace high,0.120,none,0,medium,0.524,no,--,948,163,0.3,"Ace high — betting only gets called by better hands. Take the free card. A Careful player checking means weakness, but y",green,0.3,red,-1.0,,,,,,,,
100,13URB35,flop,CO,SB,neutral,22,Q♥ 6♠ 9♣,8,0,ip_vs_check,IP,Check/Bet,Check,Check,weak,Low pocket pair (underpair),0.150,none,0,dry,0.445,no,--,965,330,0.3,Low pocket pair (underpair) on a dry board — betting only gets called by better hands. Take the free card. Their checkin,green,0.3,red,-1.0,,,,,,,,
